Expense,Label
I spent Rs 110 on a chicken burger today.,Food
Today's snack was Rs 10 for a banana.,Food
Dinner cost me Rs 300 for a delicious pizza.,Food
Chicken Biryani set me back Rs 200.,Food
I indulged in Rs 100 worth of chicken biryani.,Food
Burger and fries totaled Rs 150 for lunch.,Food
Ice cream in the evening cost Rs 50.,Food
Sushi dinner expense was Rs 250.,Food
Grabbed a quick sandwich for Rs 80 during break.,Food
Coffee from the cafe cost Rs 30.,Food
I spent Rs 110 on a chicken burger.,Food
A banana today's snack cost me Rs 10.,Food
I splurged Rs 300 on a pizza for dinner.,Food
Enjoyed Chicken Biryani for Rs 200.,Food
Treat yourself with Rs 100 worth of chicken biryani.,Food
"Lunch comprised a burger and fries, totaling Rs 150.",Food
Indulged in Rs 50 worth of ice cream in the evening.,Food
Sushi for dinner set me back by Rs 250.,Food
"During the break, grabbed a sandwich for Rs 80.",Food
A cup of coffee from the cafe was Rs 30.,Food
Today's breakfast included a Rs 90 omelette.,Food
"Splurged on a fancy dinner, spending Rs 500.",Food
"Snacked on a bag of chips, costing Rs 20.",Food
Enjoyed a refreshing juice for Rs 40.,Food
"Had a simple lunch of dal and rice, spending Rs 70.",Food
Had a hearty breakfast with pancakes for Rs 80.,Food
"Snacked on a pack of cookies, spending Rs 50.",Food
Satisfy your cravings with a chocolate milkshake for Rs 60.,Food
A healthy salad for lunch cost me Rs 120.,Food
Indulged in a cheesy pasta dish for Rs 180.,Food
Enjoyed a refreshing smoothie for Rs 70.,Food
A decadent slice of cheesecake was Rs 200.,Food
Snacked on a fresh fruit salad for Rs 90.,Food
Delighted in a cup of hot cocoa for Rs 40.,Food
Treated myself to a gourmet burger for Rs 250.,Food
"Took a bus ride today, costing Rs 110.",Travel
Just spent Rs 10 on the metro.,Travel
Hopped into a taxi; the ride cost me Rs 300.,Travel
"Used the bus again; this time, it was Rs 200.",Travel
Spent Rs 100 for the metro.,Travel
Combining bus and metro set me back Rs 150 for travel.,Travel
Had a trip to Goa expenses totaled Rs 5000.,Travel
Opted for a plane to London the cost was Rs 25000.,Travel
Traveled by train to Paris spent Rs 4800.,Travel
Quick auto-rickshaw ride in the city just Rs 50.,Travel
Took the scooter for a short ride expenses were Rs 20.,Travel
Weekend getaway to the Hill Station spent Rs 800 on travel.,Travel
Went on a cruise vacation to Maldives expenses reached Rs 15000.,Travel
Took a bicycle ride around the city cost me only Rs 5.,Travel
Post-shopping rickshaw ride spent Rs 30.,Travel
Enjoyed a road trip to the Mountains expenses were Rs 2500 for fuel and tolls.,Travel
Rented an electric scooter for the day cost Rs 100.,Travel
