transaction_value,transaction_value,expense_intent
4,This is a tip paid for an Uber ride.,Transportation / Taxis and ride shares
11.8,Uber trip from the hospital to my house.,Transportation / Public Transport
20.64,Rideshare charges for two rides.,"Rent & Utilities / Electricity, natural gas and propane energy"
20.64,Rideshare charges for two rides.,Transportation / Taxis and ride shares
93.45,This was the cost of taking two Lyft rides in Florida.,Transportation / Taxis and ride shares
20,Purchase $20 of gas from Exxon.,Transportation / Gas
15.4,Payment for Lyft car ride.,Transportation / Taxis and ride shares
18.42,Uber trip payment.,Transportation / Taxis and ride shares
108,"Online purchase of Amtrak train ticket, two-way trip.",Transportation / Public Transport
19,Parking fees.,Transportation / Parking
195,Hotel room for a night at a friend's wedding.,Travel / Lodging
616.24,I bought a plane ticket.,Travel / Flights
91.24,Car rental charge.,Travel / Rental cars
20,Reloaded bus card.,Transportation / Public Transport
18.95,I needed to use Uber for transportation home.,Transportation / Taxis and ride shares
6.15,This is a pay-by-phone parking!.,Transportation / Parking
21.39,I got a bit of gas.,Transportation / Gas
310.1,Payment hotel bill.,Travel / Lodging
10.55,Gas station.,Transportation / Gas
130,Passport Fees.,Travel / Other
10,Replenishment of Sun Pass account (highway tolls).,Transportation / Tolls
11.99,This was for prescription medicine.,Medical / Pharmacies and supplements
158.59,I made a payment on an installment loan I have with OppLoans.,Loans / Personal loans
9.86,I bought some cough drops from the duty free store at the airport.,Medical / Pharmacies and supplements
149,I had to pay for a covid test.,Medical / Pharmacies and supplements
29.52,This is a monthly fee I pay for an Affirm purchase.,Loans / Personal loans
11.99,This was for prescription medicine.,Medical / Pharmacies and supplements
792.08,Credit card payment.,Loans / Credit card payment
16.47,Payment on medical bill.,"Medical / Primary, dental, eye, and nursing care"
560,It was for paying off a Capital One credit card statement.,Loans / Credit card payment
122,Electricity and gas combined bill.,"Rent & Utilities / Electricity, natural gas and propane energy"
842.63,Mortgage payment.,Loans / Mortgage payments
25,Copays for doctor visits.,"Medical / Primary, dental, eye, and nursing care"
57.39,This is my electricity/energy bill.,"Rent & Utilities / Electricity, natural gas and propane energy"
20.64,I paid for some medicine.,Medical / Pharmacies and supplements
75.55,I paid my Internet bill.,Rent & Utilities / Internet
160,Doctor's appointment.,"Medical / Primary, dental, eye, and nursing care"
101.7,I made a payment on an installment loan that was for a big purchase.,Loans / Personal loans
82.6,I used PayPal to pay an installment payment on my power bill.,"Rent & Utilities / Electricity, natural gas and propane energy"
12.57,Payment on Affirm loan.,Loans / Personal loans
93.15,This is my electricity bill.,"Rent & Utilities / Electricity, natural gas and propane energy"
148.49,This is for my dog's 6 month supply of flea and tick meds.,Medical / Veterinary services
100,It was making a payment towards my Capital One credit card balance.,Loans / Credit card payment
144.9,I paid my electric bill.,"Rent & Utilities / Electricity, natural gas and propane energy"
270.43,Electric bill.,"Rent & Utilities / Electricity, natural gas and propane energy"
10.5,Loan payment.,Loans / Personal loans
103,Credit card payment.,Loans / Credit card payment
279.8,I was paying my electric bill.,"Rent & Utilities / Electricity, natural gas and propane energy"
